City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,afif,23.9065,42.9172,154.95000000000002,8,0,2.72,SA,1720099285
1,mek'ele,13.4967,39.4753,146.65555555555557,49,69,5.41,ET,1720099287
2,waitangi,-43.9535,-176.5597,138.23888888888888,96,48,0.89,NZ,1720099289
3,mahina,-17.5065,-149.489,147.16666666666666,78,6,11.19,PF,1720099291
4,college,64.8569,-147.8028,141.39999999999998,75,96,0.89,US,1720099269
5,tiksi,71.6872,128.8694,135.47222222222223,91,100,4.14,RU,1720099294
6,saipan,15.1355,145.701,150.08333333333334,74,100,6.39,MP,1720099296
7,newman,37.3138,-121.0208,147.25,70,0,1.27,US,1720099298
8,moranbah,-22.0016,148.0466,142.20555555555558,83,15,7.32,AU,1720099300
9,adamstown,-25.066,-130.1015,145.19444444444446,69,100,4.04,PN,1720099302
10,klaksvik,62.2266,-6.589,141.4777777777778,85,96,4.24,FO,1720099304
11,malvan,16.0667,73.4667,149.42222222222222,83,93,5.74,IN,1720099306
12,bethel,41.3712,-73.414,146.9388888888889,82,100,0.89,US,1720099308
13,vadso,70.0744,29.7487,142.0222222222222,71,0,3.09,NO,1720099309
14,antofagasta,-23.65,-70.4,142.08333333333334,62,0,0.81,CL,1720099311
15,port shepstone,-30.7414,30.455,145.89444444444447,36,0,11.1,ZA,1720099313
16,margaret river,-33.95,115.0667,140.05555555555554,83,20,4.12,AU,1720099315
17,wailua homesteads,22.0669,-159.378,146.55,88,83,0.89,US,1720099319
18,port-aux-francais,-49.35,70.2167,134.66666666666666,59,34,4.11,TF,1720099320
19,isafjordur,66.0755,-23.124,137.87222222222223,76,100,6.17,IS,1720099322
20,zaozersk,69.4005,32.4476,141.31111111111113,63,82,3.65,RU,1720099324
21,isla mujeres,21.2311,-86.731,150.6888888888889,86,0,4.58,MX,1720099326
22,minas de marcona,-15.2119,-75.1103,140.4333333333333,83,57,2.62,PE,1720099328
23,polovinnoye,54.7914,65.9864,148.5,65,48,1.78,RU,1720099329
24,hermanus,-34.4187,19.2345,143.47777777777776,65,19,9.32,ZA,1720099331
25,uturoa,-16.7333,-151.4333,148.47777777777776,75,2,9.94,PF,1720099333
26,wanning,18.8003,110.3967,148.9888888888889,83,44,2.19,CN,1720099335
27,el calafate,-50.3408,-72.2768,133.50555555555556,69,90,6.75,AR,1720099337
28,san antonio,29.4241,-98.4936,149.2444444444444,86,20,4.63,US,1720099339
29,puerto natales,-51.7236,-72.4875,135.77777777777777,65,75,6.69,CL,1720099341
30,grytviken,-54.2811,-36.5092,131.32222222222222,58,12,0.06,GS,1720099342
